"city","yrs_on_list","industry","url","state_s","revenue","state_l","metro","rank","company","growth","id","workers"
"Columbia","4","Engineering","russell-corrosion-consultants","MD","5446836","Maryland","Baltimore","2531","Russell Corrosion Consultants","149.1017","20467","35"
"St. Charles","1","Consumer Products & Services","the-soho-shop","MO","2605345","Missouri","St. Louis, MO-IL","2532","The SOHO Shop","149.077","25611","18"
"Wayzata","5","IT Services","rba","MN","48424530","Minnesota","Minneapolis","2533","RBA","148.9948","17425","325"
"Cedar Rapids","1","Business Products & Services","infinity-contact","IA","20606001","Iowa","Cedar Rapids, IA","2534","Infinity Contact","148.9931","24601","416"
"Lake Worth","3","Health","sunrise-detox","FL","34402015","Florida","Miami","2535","Sunrise Detox","148.8859","21791","145"
"San Luis Obispo","2","IT Services","tektegrity","CA","4871987","California","San Luis Obispo-Paso Robles, CA","2536","TekTegrity","148.8911","23869","43"
"Hickory","7","Logistics & Transportation","transportation-insight","NC","689065000","North Carolina","Hickory-Lenoir-Morganton, NC","2537","Transportation Insight","148.6809","1429","186"
"Lancaster","1","IT Services","one2one","PA","2969966","Pennsylvania","Lancaster, PA","2538","One2One","148.4211","25666","15"
"Dayton","3","IT Services","lighthouse-technologies","OH","7796448","Ohio","Dayton, OH","2539","Lighthouse Technologies","148.2986","21989","50"
"Asheville","2","Business Products & Services","innovative-spa-management","NC","4479334","North Carolina","Asheville, NC","2540","Innovative Spa Management","148.2759","23500","265"
"Columbia","5","Advertising & Marketing","true-media","MO","44787561","Missouri","Columbia, MO","2541","True Media","148.2519","18124","52"
"Raleigh","3","Business Products & Services","bulk-tv-internet","NC","44407502","North Carolina","Raleigh-Cary, NC","2542","Bulk TV & Internet","148.2478","424","111"
"New York","6","Computer Hardware","myriad-supply","NY","37918253","New York","New York City","2543","Myriad Supply","148.1659","3785","49"
"San Clemente","5","Software","dealersocket","CA","60818000","California","Los Angeles","2544","DealerSocket","148.1456","1760","445"
"Laguna Hills","3","Energy","solar-art","CA","2680000","California","Los Angeles","2545","Solar Art","148.1481","21964","18"
"Evansville","1","Human Resources","reference-services","IN","2880588","Indiana","Evansville, IN-KY","2546","Reference Services","148.0742","26272","22"
"Grand Forks","1","Construction","jlg-architects","ND","15384246","North Dakota","Grand Forks, ND-MN","2547","JLG Architects","148.0427","24635","67"
"Evanston","3","Telecommunications","converged-communication-systems","IL","7979239","Illinois","Chicago","2548","Converged Communication Systems","148.026","22001","48"
"Glenn Dale","1","Food & Beverage","crystal-enterprises","MD","8821896","Maryland","Washington, DC","2549","Crystal Enterprises","147.8917","26493","275"
